i 250 || Epoch 28 || train loss 0.003324 || val loss 0.004951 || DSC 0.824
i 50 || Epoch 29 || train loss 0.003380 || val loss 0.004928 || DSC 0.829
i 100 || Epoch 29 || train loss 0.003157 || val loss 0.004920 || DSC 0.823
i 150 || Epoch 29 || train loss 0.003434 || val loss 0.005005 || DSC 0.819
i 200 || Epoch 29 || train loss 0.003492 || val loss 0.005252 || DSC 0.812
i 250 || Epoch 29 || train loss 0.002920 || val loss 0.004852 || DSC 0.830
i 50 || Epoch 30 || train loss 0.002790 || val loss 0.004873 || DSC 0.826
i 100 || Epoch 30 || train loss 0.003127 || val loss 0.005005 || DSC 0.821
i 150 || Epoch 30 || train loss 0.002978 || val loss 0.004961 || DSC 0.822
i 200 || Epoch 30 || train loss 0.003395 || val loss 0.005132 || DSC 0.816
i 250 || Epoch 30 || train loss 0.003453 || val loss 0.004937 || DSC 0.827
i 50 || Epoch 31 || train loss 0.003335 || val loss 0.004787 || DSC 0.831
i 100 || Epoch 31 || train loss 0.002878 || val loss 0.004950 || DSC 0.825
i 150 || Epoch 31 || train loss 0.002833 || val loss 0.004977 || DSC 0.823
i 200 || Epoch 31 || train loss 0.003276 || val loss 0.004853 || DSC 0.826
i 250 || Epoch 31 || train loss 0.002826 || val loss 0.005244 || DSC 0.824
i 50 || Epoch 32 || train loss 0.003151 || val loss 0.005044 || DSC 0.826
i 100 || Epoch 32 || train loss 0.003148 || val loss 0.004926 || DSC 0.825
i 150 || Epoch 32 || train loss 0.003269 || val loss 0.004946 || DSC 0.821
i 200 || Epoch 32 || train loss 0.002707 || val loss 0.004758 || DSC 0.833
i 250 || Epoch 32 || train loss 0.003356 || val loss 0.004874 || DSC 0.827
i 50 || Epoch 33 || train loss 0.002358 || val loss 0.004640 || DSC 0.837
i 100 || Epoch 33 || train loss 0.004045 || val loss 0.005464 || DSC 0.809
i 150 || Epoch 33 || train loss 0.003143 || val loss 0.005096 || DSC 0.814
i 200 || Epoch 33 || train loss 0.002651 || val loss 0.004790 || DSC 0.832
i 250 || Epoch 33 || train loss 0.003208 || val loss 0.005040 || DSC 0.819
i 50 || Epoch 34 || train loss 0.003124 || val loss 0.004767 || DSC 0.832
i 100 || Epoch 34 || train loss 0.002365 || val loss 0.004863 || DSC 0.827
i 150 || Epoch 34 || train loss 0.002830 || val loss 0.004860 || DSC 0.830
i 200 || Epoch 34 || train loss 0.003144 || val loss 0.005107 || DSC 0.825
i 250 || Epoch 34 || train loss 0.002571 || val loss 0.004753 || DSC 0.829
i 50 || Epoch 35 || train loss 0.002082 || val loss 0.004916 || DSC 0.821
i 100 || Epoch 35 || train loss 0.002557 || val loss 0.004850 || DSC 0.831
i 150 || Epoch 35 || train loss 0.002382 || val loss 0.004555 || DSC 0.836
i 200 || Epoch 35 || train loss 0.002310 || val loss 0.004499 || DSC 0.844
i 250 || Epoch 35 || train loss 0.002701 || val loss 0.004377 || DSC 0.845
i 50 || Epoch 36 || train loss 0.002733 || val loss 0.004407 || DSC 0.847
i 100 || Epoch 36 || train loss 0.002897 || val loss 0.004427 || DSC 0.841
i 150 || Epoch 36 || train loss 0.002071 || val loss 0.004441 || DSC 0.840
i 200 || Epoch 36 || train loss 0.002486 || val loss 0.004425 || DSC 0.844
i 250 || Epoch 36 || train loss 0.002428 || val loss 0.004400 || DSC 0.846
i 50 || Epoch 37 || train loss 0.002115 || val loss 0.004426 || DSC 0.842
i 100 || Epoch 37 || train loss 0.002388 || val loss 0.004406 || DSC 0.845
i 150 || Epoch 37 || train loss 0.002822 || val loss 0.004444 || DSC 0.840
i 200 || Epoch 37 || train loss 0.002444 || val loss 0.004467 || DSC 0.839
i 250 || Epoch 37 || train loss 0.002079 || val loss 0.004445 || DSC 0.848
i 50 || Epoch 38 || train loss 0.002058 || val loss 0.004420 || DSC 0.842
i 100 || Epoch 38 || train loss 0.002432 || val loss 0.004457 || DSC 0.845
i 150 || Epoch 38 || train loss 0.001967 || val loss 0.004431 || DSC 0.846
i 200 || Epoch 38 || train loss 0.002093 || val loss 0.004439 || DSC 0.843
i 250 || Epoch 38 || train loss 0.002058 || val loss 0.004369 || DSC 0.845
i 50 || Epoch 39 || train loss 0.002641 || val loss 0.004472 || DSC 0.844
i 100 || Epoch 39 || train loss 0.002003 || val loss 0.004386 || DSC 0.845
i 150 || Epoch 39 || train loss 0.002503 || val loss 0.004428 || DSC 0.843
i 200 || Epoch 39 || train loss 0.002420 || val loss 0.004449 || DSC 0.845
i 250 || Epoch 39 || train loss 0.002345 || val loss 0.004462 || DSC 0.846
i 50 || Epoch 40 || train loss 0.002151 || val loss 0.004425 || DSC 0.845
i 100 || Epoch 40 || train loss 0.002738 || val loss 0.004381 || DSC 0.849
i 150 || Epoch 40 || train loss 0.002288 || val loss 0.004405 || DSC 0.845
i 200 || Epoch 40 || train loss 0.002246 || val loss 0.004436 || DSC 0.845
i 250 || Epoch 40 || train loss 0.002010 || val loss 0.004419 || DSC 0.847
i 50 || Epoch 41 || train loss 0.002486 || val loss 0.004437 || DSC 0.846
i 100 || Epoch 41 || train loss 0.001959 || val loss 0.004466 || DSC 0.847
i 150 || Epoch 41 || train loss 0.002297 || val loss 0.004381 || DSC 0.846
i 200 || Epoch 41 || train loss 0.002240 || val loss 0.004390 || DSC 0.845
